Brigade,latitude,longitude
GERANIUM ,-35.38000,140.16066
VIRGINIA ,-34.66695,138.56098
AUBURN ,-33.85457,151.02557
SES LAURA ,-33.18470,138.29991
LOWER INMAN VALLEY ,-35.53015,138.59931
NARACOORTE ,-36.95753,140.74135
MIDDLETON ,-22.35080,141.54673
SOUTHEND ,-37.57082,140.11970
CLARENDON ,-33.61055,150.78889
MYPOLONGA ,-35.04057,139.35569
KAROONDA ,-35.09609,139.89172
ROBERTSTOWN ,-33.98949,139.08107
IRON KNOB ,-18.81667,144.90000
BLEWITT SPRINGS ,-35.16788,138.59667
YORKE VALLEY GROUP ,-34.44111,137.65759
KI KI ,-35.56755,139.79408
LUCINDALE ,-36.97232,140.36947
MOUNT REMARKABLE GROUP ,-29.30203,121.90934
TEA TREE GULLY ,-34.80182,138.71493
LENSWOOD/FOREST RANGE ,-34.92682,138.80821
NORTON SUMMIT/ASHTON ,-34.91839,138.73690
DARKE PEAK ,-33.43216,136.16531
MELROSE ,-32.82659,138.18757
PARILLA ,-35.29735,140.66659
CLEVE ,-33.65762,136.28897
RANGE/HOPE FOREST ,-35.27605,138.62148
MOUNT BARKER ,-35.06413,138.85864
WESTERN DISTRICTS (DO NOT USE) ,31.97288,-92.69622
EDEN VALLEY ,-34.66670,139.12996
LINCOLN ,-32.44833,149.03444
IRONBANK ,-35.04342,138.68702
PINNAROO ,-35.32302,140.87581
CALLINGTON ,-35.11658,139.04067
MENINGIE ,-35.68913,139.33647
BURRA ,-33.67136,138.93007
SALT CREEK (R3) ,-36.12731,139.64921
TILLEY SWAMP ,-36.35440,139.94889
KIMBA ,-33.04933,136.21212
TINTINARA ,-35.88342,140.05650
ARGYLE ,-36.95382,144.73680
CALLENDALE ,-37.14288,140.40765
KEITH ,-36.09842,140.35302
MORPHETT VALE ,-35.12075,138.52397
OAKBANK/BALHANNAH ,-34.98474,138.84208
WATERLOO ,-33.90028,151.20731
PONDOOMA ,-34.92123,138.59950
COOBER PEDY ,-29.01639,134.75697
RAPID BAY AND DISTRICTS ,-35.52637,138.18986
YAHL ,-37.88237,140.84803
HAPPY VALLEY ,-25.33771,153.20052
WATTLE RANGE GROUP ,-37.43560,140.47707
WARNERTOWN ,-33.23390,138.11890
MAMBRAY CREEK ,-32.84336,137.97331
TANTANOOLA ,-37.69659,140.45558
TARLEE ,-34.27326,138.77098
MOOROOK ,-34.27627,140.30918
BASKET RANGE ,-34.93570,138.77374
PENNESHAW ,-35.71820,137.93770
COOMBE ,-35.95275,140.25374
MOUNT COMPASS ,-35.33312,138.60713
WALKER FLAT ,-34.76595,139.55476
PENOLA ,-37.37617,140.84042
EUDUNDA ,-34.17132,139.08457
GREENPATCH ,-38.04325,145.16790
ETTRICK ,-28.64917,152.91417
COFFIN BAY ,-34.62110,135.46323
PICCADILLY ,-34.97927,138.73211
TARPEENA ,-37.62719,140.79541
YORKETOWN ,-35.01905,137.60534
LOBETHAL ,-34.90506,138.87648
LYNDOCH ,-34.59354,138.87927
MILLEL ,-37.77794,140.81779
MORGAN ,-34.03406,139.66796
PARACOMBE ,-34.84805,138.77030
BALDINA ,-33.70046,139.09037
WESTERN FLAT ,-36.57086,140.70187
ROXBY DOWNS ,-30.55176,136.88166
STRATHALBYN ,-35.25762,138.89568
PORT BROUGHTON ,-33.60042,137.93115
HALIDON AND DISTRICTS ,-34.87392,140.17456
ROSEWORTHY ,-34.53323,138.74671
TANUNDA ,-34.52316,138.95711
NORTH SHIELDS ,-34.62613,135.86684
HAHNDORF ,-35.02885,138.80967
NAPPERBY ,-22.53426,132.75579
HALLETT ,-33.41190,138.89370
TUMBY BAY ,-34.19710,136.03918
BLACKWOOD ,-35.02238,138.61281
LAMEROO ,-35.32785,140.51675
CLARE ,-33.83339,138.61200
BRUKUNGA ,-35.00205,138.94284
BLYTH ,-33.84510,138.48946
WUDINNA ,-32.98332,135.32306
COONALPYN ,-35.69694,139.85876
DONOVANS ,-38.01039,140.95645
CAMBRAI ,-34.65385,139.28210
STATE HQ ,-27.45269,153.03792
HINDMARSH VALLEY ,-35.46067,138.60428
NAIRNE ,-35.03640,138.90959
MOUNT WEDGE ,-33.47563,135.14181
DUBLIN ,-34.45139,138.34974
MONBULLA ,-37.39569,140.73930
WAROOKA ,-34.99049,137.40110
POOCHERA AND DISTRICTS ,-32.72092,134.83836
OWEN ,-34.27063,138.54571
PORT KENNY ,-33.16744,134.68419
WESTERN DISTRICTS ,-32.20253,148.62761
GUM FLAT ,-20.89392,145.38161
MARLA ,-27.30312,133.62179
CORNY POINT ,-34.92633,137.08476
MUNDULLA ,-36.36089,140.69263
KAPUNDA ,-34.33995,138.91586
SELLICKS ,-35.33170,138.44978
HERMITAGE ,-28.20604,152.10206
CRYSTAL BROOK ,-33.35184,138.20678
FRANCES ,-36.71330,140.95579
COMPTON ,-37.80847,140.68185
YUNDI ,-35.31162,138.63213
BRENTWOOD ,-34.86413,137.49763
SUMMERTOWN ,-34.95955,138.72664
MAITLAND ,-34.37421,137.67375
LEIGH CREEK CFS (ETSA) ,-30.59627,138.40447
BOOLEROO CENTRE ,-32.87937,138.35105
REGION 4 OPERATIONS ,-34.59556,150.52189
ALDINGA BEACH ,-35.27929,138.46040
BEACHPORT TOWN ,-37.48058,140.01252
INMAN VALLEY ,-35.49480,138.45747
HAWKER ,-31.88762,138.42271
EDEN HILLS ,-35.02106,138.59569
SPRINGTON ,-34.70705,139.08936
FORRESTON ,-34.79752,138.89947
WILMINGTON ,-32.65039,138.09936
ELLISTON ,-33.53981,135.38490
TRURO ,-34.40941,139.12716
AMERICAN RIVER ,-35.77978,137.76851
GLADSTONE ,-23.84317,151.25613
LAURA ,-33.18470,138.29991
SHEAOAK LOG ,-34.51614,138.81888
BUCKLEBOO ,-32.77800,135.97746
LAFFER ,-36.21944,140.16621
NURIOOTPA ,-34.46934,138.99390
ORROROO ,-32.73298,138.61356
WOODCHESTER ,-35.20163,138.96685
PALMER ,-34.85280,139.16006
WANGARY ,-34.55104,135.47817
UNGARRA ,-34.18026,136.04796
MINTARO ,-33.91950,138.72383
WIRRULLA AND DISTRICT ,-32.40515,134.53474
WADDIKEE ,-33.31760,136.25484
CADGEE ,-36.15806,149.89972
WISANGER ,-35.62873,137.49212
YALLUNDA FLAT ,-34.33353,135.87928
KALANGADOO ,-37.56338,140.69998
RUDALL ,-33.69009,136.27156
PLEASANT PARK ,-37.65057,140.90478
COCKALEECHIE ,-34.21040,135.84490
MARRABEL ,-34.14349,138.87762
BLACKFELLOWS CAVES ,-37.94507,140.46607
KAPINNIE ,-34.14790,135.49366
RIVERTON ,-34.15595,138.74738
WAITPINGA ,-35.59717,138.51337
HOYLETON ,-34.02253,138.56095
GUMERACHA ,-34.82222,138.88669
WUNKAR ,-34.48957,140.29904
COLEBATCH ,-35.94955,139.74198
PORT VINCENT ,-34.77806,137.86165
BLANCHETOWN ,-34.35175,139.61171
MONTACUTE ,-34.88687,138.75281
COONAWARRA ,-37.29037,140.83373
PORT VICTORIA ,-34.49719,137.48739
CARRIETON ,-32.42340,138.53097
JERVOIS ,-22.95071,136.14256
FURNER ,-37.40828,140.33765
TOOLIGIE HILL ,-33.79610,135.84516
BROOKER ,-34.01310,135.85956
COOKE PLAINS ,-35.37955,139.56183
SEDAN ,-34.57301,139.29514
SOUTH HUMMOCKS ,-34.02615,138.08088
RHYNIE ,-34.14458,138.68828
GREENOCK ,-34.45782,138.92845
SEVENHILL/PENWORTHAM ,-33.92270,138.64110
HAMLEY BRIDGE ,-34.35557,138.68115
EDILLILIE ,-34.41041,135.70749
KONGORONG ,-37.89984,140.55660
ASHBOURNE ,-37.38647,144.44967
LANGHORNE CREEK ,-35.29594,139.03645
GLENCOE ,-29.92638,151.72475
SPENCE ,-35.19873,149.06436
BISCUIT FLAT ,-37.26539,140.06005
WRATTONBULLY/JOANNA ,-37.14509,140.88027
GREENWAYS ,-37.20509,140.16093
PADTHAWAY ,-36.58604,140.52187
MYPONGA DISTRICT ,-35.39127,138.46482
FIELD ,-35.79362,139.64374
MALLALA ,-34.43769,138.51032
CUMMINS ,-34.26442,135.72626
SADDLEWORTH ,-34.08381,138.78016
KEYNETON ,-34.55571,139.13474
YACKA ,-33.57083,138.44589
FREELING ,-34.45443,138.80969
BUTE ,-33.86583,138.00719
PORT GERMEIN ,-33.02053,137.99932
KEILIRA ,-36.66688,140.18551
YEELANNA ,-34.14074,135.72995
MINNIPA ,-32.85583,135.15548
ALFORD ,-33.81685,137.82199
COMAUM ,-37.19950,140.89501
TARATAP ,-36.57913,139.94639
KYBYBOLITE ,-36.87210,140.92494
BANGHAM ,-36.54923,140.88614
BRAY ,-37.27519,139.97026
MOUNT MCINTYRE ,-37.56128,140.53752
LOCHABER ,-36.82086,140.55012
NANGWARRY ,-37.54325,140.81473
ROCKLEIGH ,-34.99277,139.09875
EASTERN EYRE GROUP ,-31.92864,133.01296
MCLAREN FLAT ,-35.20578,138.58530
MANOORA ,-34.00055,138.81747
COROMANDEL VALLEY ,-35.04502,138.62365
CURRAMULKA ,-34.69902,137.71002
BLACKFELLOWS CREEK ,-33.20971,149.77822
MOUNT TORRENS ,-34.87380,138.95997
AVENUE RANGE ,-36.94176,140.23067
CURRENCY CREEK ,-33.53098,150.85200
BROWNS WELL ,-35.17896,140.93095
ERNABELLA (Pukatja) ,-26.27669,132.13382
ARDROSSAN ,-34.42468,137.91587
ARNO BAY ,-33.91509,136.57471
SHERLOCK/MOORLANDS ,-35.31873,139.80168
PASKEVILLE ,-34.03749,137.90169
WANDEARAH ,-33.40571,137.92709
WEETULTA ,-34.23047,137.62373
CUNLIFFE ,-34.07865,137.74705
REDHILL ,-33.53873,138.22087
WYNARKA ,-35.13256,139.73074
TAPLAN ,-34.54288,140.88158
NANTAWARRA ,-34.00794,138.22972
STANSBURY ,-34.90952,137.79007
SHERWOOD ,-30.03569,153.04120
YONGALA ,-33.02876,138.74921
MUNDOORA ,-33.59430,138.08413
BOMS NO-MATCH ,-29.76738,152.98454
MOUNT HOPE ,-23.81778,150.40611
BUTLER ,-31.64512,115.70520
COOTRA ,-33.26887,135.94303
WARDS HILL ,-34.52487,138.68817
SMOKY BAY ,-32.37351,133.93527
APPILA ,-33.05054,138.42814
SHERINGA ,-33.84721,135.23375
MINLATON ,-34.77122,137.59559
KARKOO ,-34.03269,135.73095
PENONG ,-31.92831,133.01108
STEWARTS RANGE ,-36.97937,140.60081
MUDLA WIRRA ,-34.43029,138.67458
LOCHIEL ,-33.92841,138.15835
MOUNT SCHANK ,-37.94019,140.73503
MURDINGA ,-33.72223,135.70876
BRINKWORTH ,-33.69210,138.40337
NARRUNG ,-35.50954,139.16147
KULKAMI/MARAMA ,-35.15646,140.28350
TEROWIE ,-32.46076,147.88225
PORT CLINTON AND DISTRICTS ,-23.09779,150.73801
MCLAREN VALE ,-35.21726,138.54170
MANGALO ,-33.40942,136.59294
PETERBOROUGH ,-32.97333,138.83766
GALGA ,-34.69485,139.96226
COMM CEN ,-20.01057,148.24157
EDITHBURGH ,-35.08503,137.74154
GREENHILL ,-34.94989,138.69184
SNOWTOWN ,-33.78294,138.21472
GULNARE ,-33.46720,138.44224
CHERRY GARDENS ,-35.06987,138.65874
YUNTA ,-32.58030,139.56354
HAINES MACGILLIVRAY ,-35.84808,137.42208
MAAOUPE ,-37.26211,140.70218
MOUNT BURR ,-37.54144,140.46166
CALTOWIE ,-33.18086,138.48267
COULTA ,-34.38527,135.46840
LEIGH CREEK / COPLEY ,-30.47814,138.38479
BALGOWAN ,-34.32548,137.49393
WILPENA ,-31.52646,138.60615
MOUNT BENSON ,-33.52941,120.07625
LYRUP ,-34.25649,140.64632
MOUNT GRAHAM ,-20.61694,147.06778
THORNLEA ,-37.45006,140.18878
WATERVALE ,-33.96289,138.64522
GEORGETOWN ,-18.28980,143.54806
NEALES FLAT ,-34.23268,139.19002
HYNAM ,-36.93815,140.85664
WOOLUMBOOL ,-36.83213,140.32080
WOLSELEY ,-36.36691,140.90590
WANILLA ,-34.52942,135.68334
KOPPIO ,-34.42330,135.86513
WHYTE YARCOWIE ,-33.22812,138.88571
BOOL LAGOON ,-37.17659,140.67307
CLAYTON ,-37.91732,145.13042
SENIOR ,-36.07961,140.78768
RENDELSHAM ,-37.55060,140.22501
LOCK ,-33.56730,135.75550
MIMILI ,-27.01640,132.67824
AVON ,-34.42528,150.67583
OODNADATTA ,-27.54828,135.44843
PEAKE ,-35.36485,139.95416
ALLENDALE EAST ,-38.00444,140.70975
FARRELL FLAT ,-33.82753,138.79511
COUNTRY FIRE AUTHORITY ,-38.37035,144.88984
ANDAMOOKA ,-30.45092,137.16445
KOOLUNGA ,-33.54819,138.33378
MOUNT TEMPLETON ,-34.01713,138.31727
WOOMERA ,-31.19991,136.82535
PEKINA ,-32.83607,138.55418
ALMA ,-29.69929,149.12549
R4 ,-35.29697,149.15059
STAFF ,-38.22972,146.45365
R3 ,-35.29846,149.15146
TOTHILL ,-34.03144,138.93108
WARRAMBOO ,-33.24210,135.59732
YALANDA JAMES ,-17.35250,145.58936
WHARMINDA ,-33.95801,136.24339
R6 ,-35.29420,149.14815
PIP-KALKA ,-26.14928,129.12357
PORT MACDONNELL ,-38.05189,140.70041
